		SV Count			Allele Frequency			Relative Count Reduction			AF Fold Increase			AF Relative to Truvari
reference	merge	TOT	DEL	INS	TOT	DEL	INS	TOT	DEL	INS	TOT	DEL	INS	
hg19	exact	339,870	78,036	261,834	0.05	0.08	0.04	.	.	.	.	.	.	0.6
hg19	truvari	190,878	61,493	129,385	0.08	0.10	0.08	43.84%	21.20%	50.59%	1.8	1.3	2.0	.
hg19	jasmine	125,841	48,600	77,241	0.13	0.13	0.13	62.97%	37.72%	70.50%	2.7	1.6	3.4	1.5
hg19	naive	105,759	44,429	61,330	0.14	0.14	0.14	68.88%	43.07%	76.58%	2.9	1.7	3.7	1.7
hg19	survivor	71,845	30,372	41,473	0.19	0.18	0.19	78.86%	61.08%	84.16%	3.9	2.2	5.1	2.2
grch38	exact	347,158	80,322	266,836	0.05	0.08	0.04	.	.	.	.	.	.	0.6
grch38	truvari	195,705	63,418	132,287	0.08	0.10	0.08	43.63%	21.05%	50.42%	1.7	1.3	2.0	.
grch38	jasmine	129,744	50,278	79,466	0.13	0.13	0.13	62.63%	37.40%	70.22%	2.7	1.6	3.4	1.5
grch38	naive	109,379	46,087	63,292	0.14	0.13	0.14	68.49%	42.62%	76.28%	2.9	1.7	3.7	1.6
grch38	survivor	74,288	31,560	42,728	0.19	0.18	0.19	78.60%	60.71%	83.99%	3.9	2.2	5.0	2.2
chm13	exact	329,937	121,038	208,899	0.04	0.06	0.04	.	.	.	.	.	.	0.7
chm13	truvari	212,670	92,996	119,674	0.07	0.08	0.06	35.54%	23.17%	42.71%	1.5	1.3	1.7	.
chm13	jasmine	151,975	70,696	81,279	0.10	0.10	0.09	53.94%	41.59%	61.09%	2.2	1.7	2.6	1.4
chm13	naive	137,594	64,361	73,233	0.10	0.11	0.09	58.30%	46.83%	64.94%	2.2	1.8	2.6	1.5
chm13	survivor	87,150	40,554	46,596	0.14	0.15	0.13	73.59%	66.49%	77.69%	3.2	2.5	3.7	2.1
Average	exact	338,988	93,132	245,856	0.05	0.07	0.04	.	.	.	.	.	.	0.6
Average	truvari	199,751	72,636	127,115	0.08	0.09	0.07	41.00%	21.80%	47.91%	1.7	1.3	1.9	.
Average	jasmine	135,853	56,525	79,329	0.12	0.12	0.12	59.85%	38.91%	67.27%	2.5	1.6	3.1	1.5
Average	naive	117,577	51,626	65,952	0.13	0.13	0.13	65.22%	44.17%	72.60%	2.7	1.7	3.3	1.6
Average	survivor	77,761	34,162	43,599	0.17	0.17	0.17	77.02%	62.76%	81.95%	3.6	2.3	4.6	2.2